id,store_id,department_id,position_id,first_name,last_name,email,employment_status,hire_date,termination_date
1,1,1,1,Emma,Thompson,emma.thompson@jaffle.com,active,2022-01-15,
2,1,1,2,James,Wilson,james.wilson@jaffle.com,active,2022-03-01,
3,2,1,2,Sofia,Garcia,sofia.garcia@jaffle.com,active,2022-06-15,
4,2,1,3,Liam,Chen,liam.chen@jaffle.com,active,2023-01-10,
5,3,2,4,Olivia,Brown,olivia.brown@jaffle.com,active,2022-02-01,
6,1,3,5,Noah,Davis,noah.davis@jaffle.com,terminated,2022-04-01,2024-06-30
7,4,1,2,Ava,Martinez,ava.martinez@jaffle.com,active,2023-03-15,
8,5,1,3,Ethan,Lee,ethan.lee@jaffle.com,active,2023-06-01,
9,3,4,6,Isabella,Kim,isabella.kim@jaffle.com,active,2022-09-01,
10,6,1,2,Mason,Taylor,mason.taylor@jaffle.com,on_leave,2023-09-01,
